solvent_id,nlm_num,subst_display_name,subst_category,delta_d,delta_p,delta_h,mol_vol,src_id,src_ref,boil_pt,flash_pt,chem21_safety,chem21_health,chem21_env,chem21_rank,prop_src_id
100,78933,2-Butanone (Methyl ethyl ketone),solvent,16.0,9.0,5.1,90.1,1,A1.481,80.0,-6.0,5.0,3.0,3.0,R,2.0
101,96297,2-Butanone oxime (Ethyl methyl ketoxime),additive rx,14.7,4.9,7.8,94.8,1,A1.482,,,,,,,
102,110123,Methyl isoamyl ketone (MIAK),solvent,16.0,5.7,4.1,142.8,1,A1.489,,,,,,,
103,108112,Isobutylmethylcarbinol (MAOH),solvent,15.4,3.3,12.3,127.2,1,A1.490,,,,,,,
104,108101,Isopropylacetone (Methyl isobutyl ketone),solvent,15.3,6.1,4.1,125.8,1,A1.491,117.0,13.0,4.0,2.0,3.0,R,2.0
105,80626,Methyl methacrylate (Diakon),solvent rx,15.8,6.5,5.4,106.1,1,A1.497,,,,,,,
106,872504,1-Methyl-2-pyrrolidinone (N-Methyl-gamma-butyrolactam),solvent,18.0,12.3,7.2,96.5,1,A1.521,,,,,,,
107,75092,Dichloromethane (Methylene chloride),solvent,18.2,6.3,6.1,63.9,1,A1.524,,,,,,,
108,110918,"Morpholine (Tetrahydro-1,4-oxazine)",additive rx,18.8,4.9,9.2,87.1,1,A1.526,,,,,,,
109,98953,Nitrobenzene (Essence of mirbane),solvent rx,20.0,8.6,4.1,102.7,1,A1.531,,,,,,,
110,79243,"Nitroethane (Ethane, nitro-)",solvent rx,16.0,15.5,4.5,71.5,1,A1.532,,,,,,,
111,75525,Nitromethane (Nitrocarbol),solvent rx,15.8,18.8,5.1,54.3,1,A1.534,,,,,,,
112,79469,2-Nitropropane (Dimethylnitromethane),solvent rx,16.2,12.1,4.1,86.9,1,A1.536,,,,,,,
113,71410,n-Pentanol (Amylol),solvent,15.9,5.9,13.9,108.6,1,A1.552,,,,,,,
114,71238,n-Propanol (Ethyl carbinol),solvent,16.0,6.8,17.4,75.2,1,A1.569,,,,,,,
115,67630,Isopropanol (i-Propanol),solvent,15.8,6.1,16.4,76.8,1,A1.570,82.0,12.0,4.0,3.0,3.0,R,2.0
116,108327,"1,3-Dioxolan-2-one, 4-methyl- (Propylene carbonate)",solvent,20.0,18.0,4.1,85.0,1,A1.584,,,,,,,
117,57556,"1,2-Propanediol (Trimethyl glycol)",solvent,16.8,9.4,23.3,73.6,1,A1.585,,,,,,,
118,107982,1-Methoxy-2-hydroxypropane (1-Methoxy-2-propanol),solvent,15.6,6.3,11.6,93.8,1,A1.591,,,,,,,
119,110861,Pyridine (Azine),solvent rx,19.0,8.8,5.9,80.9,1,A1.598,,,,,,,
120,616455,2-Pyrrolidone (Butyrolactam),solvent,19.4,17.4,11.3,76.4,1,A1.599,,,,,,,
121,100425,Styrene (Ethenylbenzene),solvent rx,18.6,1.0,4.1,115.6,1,A1.604,,,,,,,
122,109999,Tetrahydrofuran (THF),solvent,16.8,5.7,8.0,81.7,1,A1.617,66.0,-14.0,6.0,7.0,5.0,P,2.0
123,97994,"2-Furanmethanol, tetrahydro- (THFA)",solvent,17.8,8.2,10.2,97.0,1,A1.1096,,,,,,,
124,119642,Tetralin (Tetrahydronaphthalene),solvent,19.6,2.0,2.9,136.0,1,A1.618,,,,,,,
125,632224,Tetramethylurea (TMU),solvent rx,16.7,8.2,11.0,120.4,1,A1.624,,,,,,,
126,108883,"Benzene, methyl- (Toluene)",solvent,18.0,1.4,2.0,106.8,1,A1.637,,,,,,,
127,71556,"Ethane, 1,1,1-trichloro- (Chlorothene)",solvent,16.8,4.3,2.0,99.3,1,A1.647,,,,,,,
128,79016,Trichloroethylene (Ethylene trichloride),solvent,18.0,3.1,5.3,90.2,1,A1.649,,,,,,,
129,1330785,Imol S-140 (Tricresyl phosphate),plasticizer,19.0,12.3,4.5,316.0,1,A1.653,,,,,,,
130,121448,"Triethylamine (N,N-Diethylethanamine)",solvent rx,17.8,0.4,1.0,138.6,1,A1.656,,,,,,,
131,78400,Triethyl phosphate (TEP),plasticizer,16.7,11.4,9.2,171.0,1,A1.659,,,,,,,
132,512561,Trimethyl phosphate (TMPA),solvent,16.7,15.9,10.2,115.8,1,A1.671,,,,,,,
133,78422,Trioctyl phosphate (TOF),plasticizer,16.2,5.9,4.2,469.8,1,A1.1151,,,,,,,
134,25498491,PPG-3 methyl ether (Tripropylene glycol methyl ether),solvent,15.3,5.5,10.4,214.0,1,A1.672,,,,,,,
135,106423,4-Xylene (p-Xylene),solvent,17.6,1.0,3.1,123.3,1,A1.697,,,,,,,
