compound,SMILES
304896284,C1=CC2=C(C=CC=N2)C(=C1)NC(=O)/C(=C/C3=CC=C(O3)C4=C(C=CC(=C4)Cl)Cl)/C#N
304904005,C1[C@H](N2C3=C(S1)C=C(C=C3NC(=O)C2=O)Br)CC(=O)[O-].[Na+]
305335313,CC(C)C[C@@H](C(=O)O)N[C@@H](CC1=CN=CN1CC2=CC(=CC(=C2)Cl)Cl)C(=O)O
305352163,CN(C)CC1=CC=CC=C1SC2=C(C=C(C=C2)[123I])N
305366987,CC(C)N(C1=CC=CC=C1)C(=O)CN2C3=CC=CC=C3N(C(=O)[C@H](C2=O)NC(=O)NC4=CC=CC(=C4)C(=O)O)C5=CC=CC=C5
305792465,CCO/N=C(/C1CCN(CC1)C2(CCN(CC2)C(=O)C3=C(C=C[N+](=C3C)[O-])C)C)\C4=CC=C(C=C4)Br
305809454,CS(=O)(=O)C1=CC=CC=C1NCC2=NCCN2
305812162,COCCOCC(COCCOC)OCCOC
305820762,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC=C(C=C4)F
305821969,CC#C[C@]1(CC[C@@]2([C@@H](C1)CCC3=C2C=CC(=C3)C(=O)NCC4=CN=CC=C4)CC5=CC=CC=C5)O
305822633,C1CC2=C(C=CC(=C2)O)[C@]3([C@H]1C[C@](CC3)(C#CCl)O)CC4=CC=CC=C4
305825063,CC#C[C@]1(CC[C@@]2([C@@H](C1)CCC3=C2C=CC(=C3)C(=O)NCC4=CN=CC=C4)CC5=CC=CC=C5)O.Cl
305841296,C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)CC=C)(C)C)O)C3=CC4=C(C=C3)SC(=N4)C)C
306292648,CCNCCCCNCC1CC1CNCCCCNCC.Cl.Cl.Cl.Cl
306293414,C[C@H]1CN(CCN1[C@@H](C)C2=CC=C(C=C2)C(F)(F)F)C3(CCN(CC3)C(=O)C4=C(C=C[N+](=C4C)[O-])C)C
306296479,C[C@H]1CN(CCN1[C@@H](COC)C2=CC=C(C=C2)C(F)(F)F)C3(CCN(CC3)C(=O)C4=C(N=CN=C4C)C)C
306748890,C[C@H]1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O.C(C[C@@H](C(=O)O)N)CN=C(N)N
307000426,CC1=CC(=C(C=C1)C(C)(C)C)OC2=CC=C(C=C2)O
307297398,C[C@@H](C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)O)N
