59995652,CC1(C2CCC(C1C2)CCOCC[N+]3(CCOCC3)CC4=CC(=C(C=C4Br)OC)OC)C
59995685,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)Cl
59995801,C[C@H]1C(=O)CC[C@@H]2[C@@]1(CC[C@H]3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4CC([C@@H](C5)O)(C)C)C)C)C)C)C
59995914,CC1(CC(CC(N1[O])(C)C)NCC(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N)C
60002008,CCN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)C4=CC=CC=C4
60007934,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[Al+3]
60008006,CCCCC1=CC2=C([C@@H]3C=C(CC[C@H]3C(O2)(C)C)C)C(=C1)O
60008017,C[N+]1(CCC2=C([C@@H]1CC3=CC=C(C=C3)O)C(=C(C=C2)OC)O)C
60008028,CC1(C=CC2=C(O1)C=CC(=C2O)C3=COC4=C(C3=O)C=CC(=C4)O)C
60008039,CC1(C=CC2=C(C=CC(=C2O1)C3=CC4=C(C=C(C=C4)O)OC3)O)C
60008835,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3CCC5=CC(=O)C=C[C@@]54C)Cl)Cl)C)OCCO2
60009907,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2OC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C
60010415,C1(C(OC(O1)(F)F)F)F
60010426,C1(C(OC(O1)(F)F)Cl)Cl
60010517,C(C(Cl)(Cl)Cl)OP(Cl)Cl
60010744,C[C@H]1[C@H](OC(=O)[C@@H]1NC(=O)C)C
60019194,C1=C(C(=C(C(=C1I)NC(=O)COCCOCCOCCOCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I
60019207,CN1C[C@@H](C[C@H]2[C@H]1CC3=C(NC4=CC=CC2=C34)Br)COC(=O)N5CCCCCC5
60021321,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4O)O
60022299,CCN(CC)CCOC(=O)C1(COC2=CC=CC=C21)C3=CC=CC=C3
60023918,CCCCCCCCCCOC(=O)C1=C[C@@]2([C@@H]3[C@@H](CCC2=CC1=O)[C@@H]4CC[C@@]([C@]4(C[C@@H]3O)C)(C)O)C
60023929,C[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C(=C[C@]34C)C(=O)O)O)C)O
60025947,C1=CC(=O)C=C2C1=CC3=C(O2)C=C(C=C3)O
60026177,CC(C)CC(=O)N1CCCC1
60029234,C1COCCN1C(C(Cl)(Cl)Cl)NC=O
60031825,CCCCCN\1C2=CC=CC=C2O/C1=C\C=C\C3=[N+](C4=CC=CC=C4O3)CCCCC
60032679,C1=CC=C(C=C1)NC(=O)CC(CN)O
60034459,C(C(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Ca+2]
60036900,CN(C)[C@H]1CCC2=CC=CC=C2[C@H]1OC(=O)C3=CC=CC=C3
60037550,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)/C)/C)/C)/C)/C)C
60037583,CCCC/C=C\CCCCCCCCCCCCOC(=O)C
60044248,C1=CC(=C(C=C1Br)Br)C2=C(C=CC(=C2)Br)Br
60044259,C1=CC(=C(C(=C1)Br)C2=C(C=CC(=C2)Br)Br)Br
60044260,C1=C(C=C(C(=C1Br)Br)Br)C2=CC(=C(C(=C2)Br)Br)Br
60045263,C1=CC=C(C=C1)CCCOC(=O)C2=CC=CC=C2
60045887,CC(C)CNC(=O)/C=C/C1=CC2=C(C=C1)OCO2
60046255,C([C@H]([C@H]([C@H]1[C@H](C(C(=O)O1)O)O)O)O)O
60046506,C[C@@H]1C[C@H](CC(C1=O)(C)C)O
60046539,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C
60046540,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C\C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C[C@H](CC2(C)C)O)C)/C)/C
60046573,C1=C[C@@H]([C@H](C(=C1)C=O)N)O
60048955,CN1CC[C@]23[C@@H]4C=C[C@@H]([C@H]2[C@H]1CC5=C3C(=C(C=C5)O)O4)Cl
60050331,CN1C(=O)CC(C1=O)C2=CC(=CC=C2)F
60052848,C(CCN)C[C@@H](C(=O)O)NCO
