8077289,[OH-].[OH-].[OH-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Mg+2].[Mg+2].[Al+3].[Si+4].[Si+4].[Si+4]
8077778,CC(=O)[C@]1(C(=C)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C.C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC
9000117,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O
9000242,CCCC(=O)C/C=C/C=C/C=C.CCCC(=O)C/C=C\C=C\C=C.CCC(=O)CC/C=C/C=C/C=C.CCC(=O)CC/C=C\C=C\C=C.CC(=O)CCC/C=C/C=C/C=C.CC(=O)CCC/C=C\C=C\C=C
9000322,C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C
9000355,CCCCCCCCCCCC(=O)O[C@@H]1[C@@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H](O[C@H]([C@@H]([C@@H]2O)O)O[C@@H]3[C@@H]([C@H]([C@H](O[C@H]3O[C@@H](CCCCC)CCCCCCCCCC(=O)O[C@H]4[C@H](O[C@H]([C@H]([C@H]4O)O)O[C@@H]5[C@@H]([C@H](O[C@H]([C@@H]5OC(=O)CCCCCCCCCCC)O[C@H]6[C@H](O[C@@H]7[C@@H]([C@@H]6O)OC(=O)CCCCCCCCCC(O[C@H]8[C@H](O7)[C@@H]([C@H]([C@H](O8)C)O)O)CCCCC)C)C)O[C@H]9[C@@H]([C@@H]([C@H]([C@H](O9)C)OC(=O)[C@@H](C)CC)O)OC(=O)/C=C/C1=CC=CC=C1)CO)C)O)O)C)C)O[C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)C)OC(=O)[C@@H](C)CC)OC(=O)/C=C/C1=CC=CC=C1)O)O[C@H]1[C@H]([C@H]([C@H]([C@H](O1)CO)O)O)O
9000559,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O
9000957,C[C@H]([C@@H](C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)CNC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC3=CC=C(C=C3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC6=CC=CC=C6)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC7=CC=C(C=C7)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)N)O
9001314,CNC(=O)CNC(=O)CN
9002055,C[C@H]([C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC2=CNC3=CC=CC=C32)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCCN)C(=O)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC6=CN=CN6)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H]7CCCN7C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCSC)NC(=O)[C@H](CS)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]8CCCN8C(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC9=CNC1=CC=CC=C19)NC(=O)[C@H](CCSC)N)O
